Player Name,Player Salary
Player-0,"$23,564,932.00"
Player-1,"$19,122,655.00"
Player-2,"$9,926,467.00"
Player-3,"$44,055,782.00"
Player-4,"$41,113,231.00"
Player-5,"$38,515,477.00"
Player-6,"$24,941,389.00"
Player-7,"$4,216,796.00"
Player-8,"$38,472,958.00"
Player-9,"$37,072,615.00"
Player-10,"$24,627,994.00"
Player-11,"$15,656,467.00"
Player-12,"$44,230,432.00"
Player-13,"$28,898,355.00"
Player-14,"$9,360,168.00"
Player-15,"$40,550,209.00"
Player-16,"$47,099,973.00"
Player-17,"$44,857,116.00"
Player-18,"$18,961,730.00"
Player-19,"$6,411,070.00"
Player-20,"$22,392,884.00"
Player-21,"$38,419,389.00"
Player-22,"$5,147,141.00"
Player-23,"$14,440,973.00"
Player-24,"$7,987,556.00"
Player-25,"$20,799,362.00"
Player-26,"$36,259,015.00"
Player-27,"$47,256,440.00"
Player-28,"$16,706,382.00"
Player-29,"$26,181,563.00"
Player-30,"$20,982,648.00"
Player-31,"$31,290,916.00"
Player-32,"$45,526,224.00"
Player-33,"$11,161,954.00"
Player-34,"$4,703,055.00"
Player-35,"$4,500,971.00"
Player-36,"$32,615,395.00"
Player-37,"$32,661,868.00"
Player-38,"$13,141,247.00"
Player-39,"$45,928,956.00"
Player-40,"$1,794,957.00"
Player-41,"$29,988,773.00"
Player-42,"$35,721,507.00"
Player-43,"$7,200,865.00"
Player-44,"$44,741,268.00"
Player-45,"$2,035,660.00"
Player-46,"$31,591,784.00"
Player-47,"$14,269,633.00"
Player-48,"$14,685,822.00"
Player-49,"$44,226,547.00"
Player-50,"$20,484,781.00"
Player-51,"$10,309,771.00"
Player-52,"$5,464,299.00"
Player-53,"$15,884,172.00"
Player-54,"$48,155,892.00"
Player-55,"$30,958,364.00"
Player-56,"$8,252,851.00"
Player-57,"$11,937,134.00"
Player-58,"$19,271,965.00"
Player-59,"$24,433,176.00"
Player-60,"$22,254,664.00"
Player-61,"$22,248,516.00"
Player-62,"$28,287,889.00"
Player-63,"$26,329,410.00"
Player-64,"$25,716,286.00"
Player-65,"$36,676,054.00"
Player-66,"$3,502,251.00"
Player-67,"$30,615,303.00"
Player-68,"$10,914,569.00"
Player-69,"$38,700,332.00"
Player-70,"$33,989,418.00"
Player-71,"$49,887,175.00"
Player-72,"$40,143,675.00"
Player-73,"$10,489,167.00"
Player-74,"$37,724,535.00"
Player-75,"$39,281,900.00"
Player-76,"$45,963,678.00"
Player-77,"$5,021,758.00"
Player-78,"$5,285,819.00"
Player-79,"$1,207,458.00"
Player-80,"$36,122,811.00"
Player-81,"$22,091,316.00"
Player-82,"$41,017,086.00"
Player-83,"$2,043,600.00"
Player-84,"$8,584,491.00"
Player-85,"$33,564,149.00"
Player-86,"$43,078,239.00"
Player-87,"$49,101,663.00"
Player-88,"$26,247,227.00"
Player-89,"$12,405,506.00"
Player-90,"$39,305,926.00"
Player-91,"$1,654,474.00"
Player-92,"$48,957,095.00"
Player-93,"$20,777,301.00"
Player-94,"$46,170,592.00"
Player-95,"$38,249,733.00"
Player-96,"$25,241,860.00"
Player-97,"$3,306,859.00"
Player-98,"$23,834,090.00"
Player-99,"$26,746,689.00"
Player-100,"$19,352,078.00"
Player-101,"$22,010,361.00"
Player-102,"$34,667,543.00"
Player-103,"$45,379,053.00"
Player-104,"$6,657,466.00"
Player-105,"$35,268,887.00"
Player-106,"$16,245,453.00"
Player-107,"$37,920,694.00"
Player-108,"$18,410,519.00"
Player-109,"$13,709,915.00"
Player-110,"$45,693,171.00"
Player-111,"$11,716,275.00"
Player-112,"$13,531,813.00"
Player-113,"$20,469,358.00"
Player-114,"$5,060,803.00"
Player-115,"$33,345,147.00"
Player-116,"$43,466,213.00"
Player-117,"$6,443,047.00"
Player-118,"$21,225,246.00"
Player-119,"$32,546,300.00"
Player-120,"$23,204,786.00"
Player-121,"$42,351,342.00"
Player-122,"$46,177,803.00"
Player-123,"$20,260,186.00"
Player-124,"$13,620,120.00"
Player-125,"$14,072,409.00"
Player-126,"$1,010,452.00"
Player-127,"$43,158,502.00"
Player-128,"$5,508,345.00"
Player-129,"$28,813,051.00"
Player-130,"$45,060,665.00"
Player-131,"$34,753,451.00"
Player-132,"$48,086,245.00"
Player-133,"$13,845,403.00"
Player-134,"$21,861,023.00"
Player-135,"$25,056,947.00"
Player-136,"$44,433,298.00"
Player-137,"$27,941,271.00"
Player-138,"$8,247,611.00"
Player-139,"$30,840,211.00"
Player-140,"$28,035,186.00"
Player-141,"$24,190,068.00"
Player-142,"$47,898,027.00"
Player-143,"$627,003.00"
Player-144,"$16,073,233.00"
Player-145,"$25,963,711.00"
Player-146,"$18,964,405.00"
Player-147,"$21,479,189.00"
Player-148,"$45,170,481.00"
Player-149,"$623,092.00"
Player-150,"$33,588,058.00"
Player-151,"$30,316,273.00"
Player-152,"$36,168,581.00"
Player-153,"$21,670,999.00"
Player-154,"$36,608,781.00"
Player-155,"$15,371,768.00"
Player-156,"$9,276,279.00"
Player-157,"$18,880,617.00"
Player-158,"$38,290,691.00"
Player-159,"$41,956,566.00"
Player-160,"$13,092,203.00"
Player-161,"$3,421,015.00"
Player-162,"$29,287,063.00"
Player-163,"$30,885,919.00"
Player-164,"$20,099,569.00"
Player-165,"$1,224,000.00"
Player-166,"$10,501,327.00"
Player-167,"$22,925,621.00"
Player-168,"$49,771,004.00"
Player-169,"$27,864,580.00"
Player-170,"$17,679,526.00"
Player-171,"$28,372,353.00"
Player-172,"$46,729,483.00"
Player-173,"$22,901,294.00"
Player-174,"$13,312,541.00"
Player-175,"$22,425,322.00"
Player-176,"$3,899,270.00"
Player-177,"$2,102,268.00"
Player-178,"$9,298,252.00"
Player-179,"$1,949,491.00"
Player-180,"$35,219,359.00"
Player-181,"$2,820,143.00"
Player-182,"$28,641,582.00"
Player-183,"$10,322,908.00"
Player-184,"$49,834,281.00"
Player-185,"$6,257,842.00"
